Question Name,Question
Machine Learning Wrap Up,Tell me in your own words how machine learning works?
What did you learn today about prompt engineering?,How do you a better answer from ChatGPT?
Learning and Insights,What was the most significant insight or piece of knowledge you gained today? How do you plan to apply this new learning to your entrepreneurial journey?
Pitching Experience,How was your experience working on the pitch? Was it hard to come up with ideas? Were you nervous to speak in front of your peers? What do you feel would improve your pitching experience in the future?
Group Work,What are some strengths you've witnessed across your teammates? Where did you encounter conflict today? How did you deal with it? How do you feel about working in a team?
Tell me your why,In your own words tell me why you are learning to code?
Variables & Data Types Notebook,"Read the examples on variable and data types then code your own version:

https://colab.research.google.com/drive/158zL1WmwLEQN9owx14jgFVkKJAoF3vkj?usp=sharing"
List Questions,Pop and append are not the only methods available for lists. Pick a method from https://www.w3schools.com/python/python_ref_list.asp and explain it in your own words.
For Loop Challenge,What is the greatest multiple of 13 less than 1000000? Show your work. (Hint: Use start stop and step)
Programming Challenge: Simple Calculator,"Write a calculator() function that adds subtract multiplies divides two numbers. For bonus points use error handling so that non numeric inputs do not break the calculator. Click on share then copy and paste the link here. Remember to change access to ""Anyone with the link can access"" so I can see your work!"
Group Norms Questions,Why are bravery and curiosity so important when learning how to code? How are you going to be curious and brave during this class? Give one specific example.
Mentor Questions,What are you looking for in a mentor?;How do you approach a mentor? What should you include in your question?;What do mentors look for? How do you cultivate a positive long term relationship with your mentor?


Stakeholder Definition,"What is a ""stakeholder""?"
Most Affected Stakeholders,Which stakeholders are most affected by your problem?
Most Influential Stakeholders,Who are the stakeholders that have the most influence over your problem?
Biggest Contributors,Who are the biggest supporters and contributors to your problem?
Problem Fighters,Who are the entities or parties fighting your problem the most?
Financial Stake,Who has a financial stake or interest in your problem?
What is a user?,"What is a ""user"" in the context of entrepreneurship or design?"
"What is a ""beneficiary""?","What is a ""beneficiary""?"
Defining Your Users,Who can be the users of your product or service? Who do you want to design for?
Who can you access?,Which target users do you have access to in your own life and community? Which ones could you approach for an interview?
Challenge: Empathize with your User,Who is your target user or customer?;What are their wants and needs?;What are their daily problems or challenges?;What are their daily problems or challenges?;What are their goals in life?;What obstacles or barriers or getting in their way?
Defining Empathy,How would you define empathy?
Prototype Definition,How would you describe what a prototype is in your own words?
What does MVP stand for?,What does MVP stand for?
How will you demonstrate traction?,How will you demonstrate that there is demand of interest for your product or service?;What metrics will you use to determine success?

Per Unit Cost,What is the true cost of a “unit” of your product or service?
Product Margin,What is the margin on a “unit” of your product or service?
Income Minimization,Please describe your team's strategy to maximize income for your startup:
Financial Assumptions,What are the major financial assumptions that you are making about your startup's future financial success?
Break Even Analysis,When does your organization expect to break even? If you intend to make ongoing losses please explain why.
4 Ps,"What do the ""4 Ps"" stand for?"
